id,origin_depot_id,destination_depot_id,distance_km,road_distance_km,fee,created_at,updated_at
06778800-c4d3-4ef0-a694-f860607f03f3,8f1c804e-0382-4f7f-8229-dda365aba5a2,8abc701d-83db-485c-bb90-eea9da904eba,50.68,76.02,480100,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
081929d7-2b34-49ff-ac8f-1d16f10f9c07,d2903cf6-dbdf-4a75-8ce7-93e3b0092e49,6c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c2,76.91,115.37,661480,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
08d2f0a0-fc9f-448a-9a01-e1e8917b49dc,2b7bd9fc-f236-48cb-8667-ad62c2eb4a01,80071d9e-fa85-41ab-9531-f34391e84bec,3.05,4.57,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
0903998c-3d81-4adf-82e3-7e2e8902056c,288f81f9-3b22-4e9c-be2b-2dc52d0f3b29,7d42d186-c243-47ef-bdd3-09e3212b6b17,12.50,18.76,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
0afdd8fd-e9d7-4db4-b4b2-e44b423daf8f,968c5794-75e4-4ba4-9939-a234dde8d84d,80071d9e-fa85-41ab-9531-f34391e84bec,1110.92,1666.38,5399140,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
0b1cf5f1-fa1c-4ce4-ae61-e44dc60badc3,c9c7790f-b3dd-432c-aee7-3b3413a0de35,61f2a716-e5ed-41de-ab08-6e01637c5b51,5.28,7.91,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
0b41a41b-03cf-4862-827c-744d7a98c3f0,6d2f28b0-ffba-42b5-a905-22f9358a8a5b,7d42d186-c243-47ef-bdd3-09e3212b6b17,1077.62,1616.43,5249290,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
0b4a68cd-6e43-453c-9186-beddfc92b7d6,c617e8c8-7afe-4d28-a5ca-1379d9501be5,553b1a53-5023-4a15-8d09-4787980a75ca,597.41,896.11,3088330,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
0c336d2b-6d53-43ee-9274-5a72d1bc7a27,8f1c804e-0382-4f7f-8229-dda365aba5a2,80071d9e-fa85-41ab-9531-f34391e84bec,44.54,66.81,434050,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
0c94e15b-eb59-4197-b2f7-bc5f33060a49,968c5794-75e4-4ba4-9939-a234dde8d84d,eae42269-bdb6-44ae-a5b9-41117e26abcd,1127.88,1691.82,5475460,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
0cf451b3-a15a-43b5-9ec9-2cbcac9146dc,7c69d43b-f991-45bc-8f71-c28076888f37,b3c0323f-abba-423d-ad11-b6d9474080db,91.28,136.93,747720,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
0e0c3a26-ad6b-42bc-b4d2-87b9c77205df,288f81f9-3b22-4e9c-be2b-2dc52d0f3b29,5c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c1,1104.24,1656.36,5369080,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
0f99cedb-ccff-4ebc-9e90-647513fe9424,e231c92f-f237-40ba-8b35-9040bb3f6e23,b3c0323f-abba-423d-ad11-b6d9474080db,1102.63,1653.94,5361820,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
1020b988-89ce-4ca0-ba80-612ffa24e905,1bf4bb87-9e44-4beb-b337-1f45a58fd731,18e98815-c7e1-4394-bfd1-3132a227ec0b,1121.04,1681.56,5444680,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
1037545b-2c2c-4109-99d0-370529265b6a,a2dbd7dc-34da-4bf1-bb57-b7bcd3b014da,6c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c2,1130.19,1695.28,5485840,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
106cf075-09cb-4ba3-8457-e8f48d87eef3,d0122a69-7fdb-4d0b-962d-b33cff0c7ea1,553b1a53-5023-4a15-8d09-4787980a75ca,515.34,773.01,2719030,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
11f19f7d-b682-4125-8ba7-5ea158127682,d0122a69-7fdb-4d0b-962d-b33cff0c7ea1,24521324-b93c-4354-911f-b7ef3b2c257c,519.56,779.34,2738020,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
11f7d6f6-bdad-4a4f-b125-6ec4c21ed5df,6d2f28b0-ffba-42b5-a905-22f9358a8a5b,b3c0323f-abba-423d-ad11-b6d9474080db,96.57,144.85,779400,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
13c307cc-5678-4d44-83de-6694e7f350af,c617e8c8-7afe-4d28-a5ca-1379d9501be5,80071d9e-fa85-41ab-9531-f34391e84bec,1133.24,1699.86,5499580,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
14163499-0759-4dad-b8b2-532547b6b754,a2dbd7dc-34da-4bf1-bb57-b7bcd3b014da,553b1a53-5023-4a15-8d09-4787980a75ca,623.75,935.63,3206890,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
1466fff4-868f-492d-aaef-de108346e46e,7c69d43b-f991-45bc-8f71-c28076888f37,6c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c2,90.44,135.65,742600,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
1576eca1-6b04-4d83-975b-20cc97ab3fd9,366ff3a9-430e-4055-af48-9d674e4aaf15,80071d9e-fa85-41ab-9531-f34391e84bec,1108.68,1663.02,5389060,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
18b928ed-6fbc-4239-98b1-35ed2950f413,e0228558-58ba-4d45-a257-b7b4d171f06e,eae42269-bdb6-44ae-a5b9-41117e26abcd,1124.08,1686.13,5458390,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
18d39114-09a2-4a1b-ae41-37608a995a32,d0122a69-7fdb-4d0b-962d-b33cff0c7ea1,8abc701d-83db-485c-bb90-eea9da904eba,1036.32,1554.47,5063410,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
1a968b88-92f4-4735-bc9e-72465b9950e3,6553f989-77e9-4459-a327-a8f21d0c52b3,eae42269-bdb6-44ae-a5b9-41117e26abcd,66.59,99.88,599400,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
1ba043fd-f6be-4522-8cf5-d11d908007bf,2028d662-e7e4-4c3c-94ee-4c0648b71f1c,6c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c2,1215.48,1823.22,5869660,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
1c3575d5-35d3-4f01-8b8e-8a8473f55095,a2dbd7dc-34da-4bf1-bb57-b7bcd3b014da,7d42d186-c243-47ef-bdd3-09e3212b6b17,20.87,31.31,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
1e20d792-2ea7-4ce5-8ff7-9c9a24b9a4f5,366ff3a9-430e-4055-af48-9d674e4aaf15,eae42269-bdb6-44ae-a5b9-41117e26abcd,1125.67,1688.51,5465530,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
1f61fc88-32e1-46ea-b8e4-89d4144a12f4,366ff3a9-430e-4055-af48-9d674e4aaf15,b3c0323f-abba-423d-ad11-b6d9474080db,1.72,2.58,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
1f70564e-3804-4abd-b7d2-d733e6fac341,79531671-cb34-42f7-8c43-e544bfe2e4bf,8a67c9a8-4639-4533-b32c-3528929df464,4.80,7.20,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
1fa64d11-0235-4c79-aa57-c21046f7b8a6,79531671-cb34-42f7-8c43-e544bfe2e4bf,553b1a53-5023-4a15-8d09-4787980a75ca,4.78,7.17,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2016e0cd-b32c-479a-88f3-ab5a0224a797,968c5794-75e4-4ba4-9939-a234dde8d84d,24521324-b93c-4354-911f-b7ef3b2c257c,557.60,836.40,2909200,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
20325a2f-21c9-4255-be8f-43a01c37be19,43bd4be6-9cce-48a9-a3cc-09f8ee7596c2,80071d9e-fa85-41ab-9531-f34391e84bec,143.54,215.31,1045930,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
20f534ce-ce8c-43b6-a73e-7af40923612d,366ff3a9-430e-4055-af48-9d674e4aaf15,24521324-b93c-4354-911f-b7ef3b2c257c,552.08,828.11,2884330,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2151262d-093a-4ccf-b06d-d984071249f2,a2dbd7dc-34da-4bf1-bb57-b7bcd3b014da,8a67c9a8-4639-4533-b32c-3528929df464,623.77,935.66,3206980,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
227b31b5-e6f0-4775-85ed-499dd3637772,4fc4a6ab-d018-482d-bfe4-275a66531e86,18e98815-c7e1-4394-bfd1-3132a227ec0b,15.37,23.05,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
23060fa3-9343-47d8-95c1-cef96df52f2d,1bf4bb87-9e44-4beb-b337-1f45a58fd731,6c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c2,1.94,2.91,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
231b7f88-9135-47a8-a1bd-e5e2c557ed6a,d2903cf6-dbdf-4a75-8ce7-93e3b0092e49,61f2a716-e5ed-41de-ab08-6e01637c5b51,1139.52,1709.28,5527840,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2354d8b7-06fc-4b14-a46d-3b8758f2cb95,2b7bd9fc-f236-48cb-8667-ad62c2eb4a01,18e98815-c7e1-4394-bfd1-3132a227ec0b,14.38,21.56,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
23d26077-7058-45dd-9226-152183010f27,3018212c-4657-445f-8226-9f11513c4879,8a67c9a8-4639-4533-b32c-3528929df464,0.16,0.24,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
24a7b8bf-26da-44ab-9188-472f8c65ebea,43bd4be6-9cce-48a9-a3cc-09f8ee7596c2,8a67c9a8-4639-4533-b32c-3528929df464,727.45,1091.17,3673510,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
24b97648-bbd0-4069-9080-d234a46032a2,d0122a69-7fdb-4d0b-962d-b33cff0c7ea1,eae42269-bdb6-44ae-a5b9-41117e26abcd,1059.51,1589.27,5167810,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
25ae1ec4-a4b4-4860-a220-5602e9941fb6,c1ba1ff2-3eaf-48f4-82f1-41e3a68d55a1,6c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c2,1100.02,1650.03,5350090,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
25ebc0cb-b560-476d-8f9d-bcd109c4205a,e231c92f-f237-40ba-8b35-9040bb3f6e23,eae42269-bdb6-44ae-a5b9-41117e26abcd,26.33,39.49,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2695f79a-6af3-4cf4-9cf9-82687b8f9a1a,d2903cf6-dbdf-4a75-8ce7-93e3b0092e49,80071d9e-fa85-41ab-9531-f34391e84bec,1142.33,1713.49,5540470,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
27a34a73-d19f-40c0-bf66-ac1b238ea824,f462ddec-0f01-46ff-ab43-5b20ef20355b,61f2a716-e5ed-41de-ab08-6e01637c5b51,1106.87,1660.31,5380930,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
27a8e9ea-ff58-42bd-9540-aa1cf3ec36da,14a5a813-5a82-42e7-bf9c-6531d9079476,553b1a53-5023-4a15-8d09-4787980a75ca,652.83,979.24,3337720,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2928da63-a843-4262-abf7-ac2299c8c961,14a5a813-5a82-42e7-bf9c-6531d9079476,eae42269-bdb6-44ae-a5b9-41117e26abcd,1190.72,1786.08,5758240,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2930ebb2-ae48-4f95-90c4-8af3efa55f85,d0122a69-7fdb-4d0b-962d-b33cff0c7ea1,7d42d186-c243-47ef-bdd3-09e3212b6b17,1046.19,1569.28,5107840,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2984cf9d-eb5d-4ec2-b265-54814ed039bd,8f1c804e-0382-4f7f-8229-dda365aba5a2,61f2a716-e5ed-41de-ab08-6e01637c5b51,47.54,71.31,456550,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2a780267-b286-4f5d-93e1-fcd96986836e,6d2f28b0-ffba-42b5-a905-22f9358a8a5b,8abc701d-83db-485c-bb90-eea9da904eba,1067.75,1601.63,5204890,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2aadc8e2-c0a0-458c-9c2e-d189ea083fdb,c9c7790f-b3dd-432c-aee7-3b3413a0de35,6c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c2,1109.83,1664.74,5394220,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2af4429a-b570-4a7a-bac6-0b3a290f44df,1bf4bb87-9e44-4beb-b337-1f45a58fd731,61f2a716-e5ed-41de-ab08-6e01637c5b51,1106.31,1659.47,5378410,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2b5c3f0d-fbe5-431a-ba0d-dd8e85dc65bc,c1ba1ff2-3eaf-48f4-82f1-41e3a68d55a1,61f2a716-e5ed-41de-ab08-6e01637c5b51,16.22,24.34,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2c6b42c7-fa6d-4b3e-9b46-17ed3c67ce8f,6553f989-77e9-4459-a327-a8f21d0c52b3,24521324-b93c-4354-911f-b7ef3b2c257c,587.59,881.39,3044170,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2ca4f401-293d-4336-9acd-f9df36720152,d2903cf6-dbdf-4a75-8ce7-93e3b0092e49,18e98815-c7e1-4394-bfd1-3132a227ec0b,1154.30,1731.45,5594350,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2d26b427-0593-4fa2-af1d-a6b0c96ed98c,c617e8c8-7afe-4d28-a5ca-1379d9501be5,24521324-b93c-4354-911f-b7ef3b2c257c,601.71,902.56,3107680,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2dd0ac74-1b1e-48e1-97bc-450ddb8bf156,3018212c-4657-445f-8226-9f11513c4879,80071d9e-fa85-41ab-9531-f34391e84bec,604.12,906.18,3118540,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2de8966f-df48-4e5b-b1a6-a2652998a635,814cde2d-95b2-41fc-8ed0-271ba2170968,6c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c2,1107.74,1661.60,5384800,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2e08b5a0-6ce9-4bfb-935b-c63830873a4d,4fc4a6ab-d018-482d-bfe4-275a66531e86,553b1a53-5023-4a15-8d09-4787980a75ca,602.38,903.58,3110740,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
2e87de85-321a-4223-8156-b86f77c3958d,968c5794-75e4-4ba4-9939-a234dde8d84d,553b1a53-5023-4a15-8d09-4787980a75ca,553.21,829.82,2889460,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
30030d6e-5120-460b-920b-c0a0a4c3d80b,c1ba1ff2-3eaf-48f4-82f1-41e3a68d55a1,5c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c1,1100.02,1650.03,5350090,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
307e1cc4-c171-4e77-a20b-56daa70f4586,f462ddec-0f01-46ff-ab43-5b20ef20355b,80071d9e-fa85-41ab-9531-f34391e84bec,1109.59,1664.39,5393170,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
3107ef27-e2e4-497f-97b0-09248fd3cd9d,9a0fe470-d3ae-4a51-ae3b-217db367b329,61f2a716-e5ed-41de-ab08-6e01637c5b51,8.42,12.63,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
31817955-b050-4747-9e2e-834887630f70,9a0fe470-d3ae-4a51-ae3b-217db367b329,6c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c2,1112.91,1669.36,5408080,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
31a5573f-bb71-4776-a114-1c8dc340eb7a,3018212c-4657-445f-8226-9f11513c4879,24521324-b93c-4354-911f-b7ef3b2c257c,4.31,6.46,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
3208d922-2aec-48f1-b4dd-3b9ca9d15a9c,79531671-cb34-42f7-8c43-e544bfe2e4bf,7d42d186-c243-47ef-bdd3-09e3212b6b17,601.44,902.16,3106480,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
339a0c56-c5e5-4e49-a7d8-fc37d721662d,366ff3a9-430e-4055-af48-9d674e4aaf15,5c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c1,1.46,2.18,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
33a66bc0-4c10-40ab-ac15-eb2d369dc232,8f1c804e-0382-4f7f-8229-dda365aba5a2,18e98815-c7e1-4394-bfd1-3132a227ec0b,36.00,54.01,370050,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
346f9cd0-2627-40a5-ae95-81a6f11fca6d,e0228558-58ba-4d45-a257-b7b4d171f06e,8a67c9a8-4639-4533-b32c-3528929df464,544.88,817.32,2851960,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
3576db28-cc1a-449a-845b-6c930d204b87,288f81f9-3b22-4e9c-be2b-2dc52d0f3b29,80071d9e-fa85-41ab-9531-f34391e84bec,7.56,11.34,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
35f392fe-44d1-427d-bf87-63b8f5a18298,3018212c-4657-445f-8226-9f11513c4879,eae42269-bdb6-44ae-a5b9-41117e26abcd,621.16,931.74,3195220,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
37165e1a-bf2b-4160-85e2-8a0ee2a58344,79531671-cb34-42f7-8c43-e544bfe2e4bf,5c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c1,550.51,825.77,2877310,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
388cd92b-92cd-450e-81e2-5a521abcf726,3018212c-4657-445f-8226-9f11513c4879,5c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c1,546.34,819.51,2858530,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
39176eaf-3cdd-4942-bead-f04cd0547692,4fc4a6ab-d018-482d-bfe4-275a66531e86,5c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c1,1104.37,1656.56,5369680,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
3b3181cd-2029-410e-a82a-87b109ad783b,3018212c-4657-445f-8226-9f11513c4879,7d42d186-c243-47ef-bdd3-09e3212b6b17,606.10,909.15,3127450,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
3c078b97-b0c7-43a3-a617-fdf4519b1d5b,d0122a69-7fdb-4d0b-962d-b33cff0c7ea1,3bc2f4dd-ce0c-4d54-b477-f7e98bf73963,1040.39,1560.58,5081740,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
3d1195c5-562a-4bbe-b331-57da4fd53035,e0228558-58ba-4d45-a257-b7b4d171f06e,80071d9e-fa85-41ab-9531-f34391e84bec,1107.08,1660.63,5381890,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
3d62bbdd-c4a4-4560-855c-d66f5bfe31c1,7c69d43b-f991-45bc-8f71-c28076888f37,553b1a53-5023-4a15-8d09-4787980a75ca,598.29,897.43,3092290,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
3e4893c1-c229-466b-bf70-2671faebe3df,d4d45641-60ba-468d-ac8f-d7012e5a9cdf,5c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c1,1120.43,1680.64,5441920,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
3efd4972-321d-40ac-8b25-39d3d0121676,14a5a813-5a82-42e7-bf9c-6531d9079476,8a67c9a8-4639-4533-b32c-3528929df464,652.77,979.16,3337480,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
3f0781c3-fbed-4043-9298-b7fff39f15dd,e231c92f-f237-40ba-8b35-9040bb3f6e23,3bc2f4dd-ce0c-4d54-b477-f7e98bf73963,12.51,18.77,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
3f07bffb-6c28-4650-93ed-78bc850284f3,2b7bd9fc-f236-48cb-8667-ad62c2eb4a01,b3c0323f-abba-423d-ad11-b6d9474080db,1106.75,1660.12,5380360,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
4081fab4-e168-40d0-a352-3fc32a076b49,43bd4be6-9cce-48a9-a3cc-09f8ee7596c2,eae42269-bdb6-44ae-a5b9-41117e26abcd,131.10,196.65,986600,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
413b02d2-78bb-4289-a2bd-53edc808cd65,c1ba1ff2-3eaf-48f4-82f1-41e3a68d55a1,b3c0323f-abba-423d-ad11-b6d9474080db,1101.69,1652.54,5357620,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
42a41253-003e-49a5-ac7b-8a9f7191ffc7,7c69d43b-f991-45bc-8f71-c28076888f37,80071d9e-fa85-41ab-9531-f34391e84bec,1133.63,1700.45,5501350,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
42eb60a2-75ee-4e66-9f2a-48b608b68471,814cde2d-95b2-41fc-8ed0-271ba2170968,61f2a716-e5ed-41de-ab08-6e01637c5b51,3.29,4.93,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
431616b6-7c8a-4522-8996-4f6850cf4ed8,6d2f28b0-ffba-42b5-a905-22f9358a8a5b,24521324-b93c-4354-911f-b7ef3b2c257c,548.59,822.88,2868640,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
450504a5-a11f-4c7b-bece-65b44ea968d2,6553f989-77e9-4459-a327-a8f21d0c52b3,8a67c9a8-4639-4533-b32c-3528929df464,591.39,887.08,3061240,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
461a6a5c-2110-4213-b18e-796fcea68633,814cde2d-95b2-41fc-8ed0-271ba2170968,3bc2f4dd-ce0c-4d54-b477-f7e98bf73963,3.09,4.63,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
48cc2ffe-e376-4b46-9527-83152b07bc8d,43bd4be6-9cce-48a9-a3cc-09f8ee7596c2,553b1a53-5023-4a15-8d09-4787980a75ca,727.44,1091.15,3673450,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
494a7b2e-0d01-4117-bbc8-2c2834fd4e23,2028d662-e7e4-4c3c-94ee-4c0648b71f1c,80071d9e-fa85-41ab-9531-f34391e84bec,148.70,223.05,1069150,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
498d5222-9e68-4dd7-9d65-034ffcd2b9ec,1bf4bb87-9e44-4beb-b337-1f45a58fd731,7d42d186-c243-47ef-bdd3-09e3212b6b17,1112.14,1668.21,5404630,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
49d8bd70-9f12-4eb2-8c26-b871188abce8,6553f989-77e9-4459-a327-a8f21d0c52b3,553b1a53-5023-4a15-8d09-4787980a75ca,591.38,887.06,3061180,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
4a15bc2c-5291-4646-b2ee-89aebbc66465,6d2f28b0-ffba-42b5-a905-22f9358a8a5b,8a67c9a8-4639-4533-b32c-3528929df464,544.28,816.43,2849290,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
4c103369-d733-4d15-be8f-75773c2a5fec,f462ddec-0f01-46ff-ab43-5b20ef20355b,b3c0323f-abba-423d-ad11-b6d9474080db,0.71,1.07,350000,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
4c249c53-e4c5-4fe5-9373-09429f0107bb,6553f989-77e9-4459-a327-a8f21d0c52b3,6c5a67c7-d2f0-4c47-a332-1a8c3e2ce1c2,1078.97,1618.45,5255350,2025-07-16 07:49:46.528418+00,2025-07-16 07:49:46.528418+00
